id (no tocar),codigo,nombre,categoria,precio,foto,visible,talles,descripcion
jeans-repro,27V4101,Jeans Chupín Repro,Jeans,,jeans-repro.jpg,si,"26, 28, 30, 32, 34, 36","Jeans chupín de tiro medio, elastizado."
jeans-gain,A26I4087,Jeans Gain Black Oxford,Jeans,,jeans-gain.jpg,si,"26, 28, 30, 32, 34, 36",Jeans oxford semielastizado.
jeans-cird,27V4105,Jeans Oxford Cird,Jeans,,jeans-cird.jpg,si,"26, 28, 30, 32, 34, 36","Jeans oxford de tiro medio, elastizado."
jeans-tampa,A26I4034,Jeans Tampa Recto,Jeans,,jeans-tampa.jpg,si,"26, 28, 30, 32, 34, 36","Jeans recto de tiro medio, elastizado."
jeans-kady,27V4106,Jeans Recto Kady,Jeans,,jeans-kady.jpg,si,"26, 28, 30, 32, 34, 36","Jeans recto de tiro medio, elastizado."
jeans-black-moon,A26I4086,Jeans Black Moon Chupín,Jeans,,jeans-black-moon.jpg,si,"26, 28, 30, 32, 34, 36",Jeans chupín elastizado.
jeans-sunny,27V4103,Jeans Sunny,Jeans,,jeans-sunny.jpg,si,"24, 28, 30, 32, 34",Jeans wide leg de tiro medio con apliques frontales.
jeans-glam,27V4104,Jeans Recto Glam,Jeans,,jeans-glam.jpg,si,"26, 28, 30, 32, 34, 36","Jeans recto elastizado, tiro medio con apliques laterales."
jeans-black-night,27V4102,Jeans Recto Black Night,Jeans,,jeans-black-night.jpg,si,"26, 28, 30, 32, 34, 36","Jeans recto elastizado, tiro medio con apliques frontales."
jeans-seiano,A26I4078,Jeans Wide Leg Seiano,Jeans,,jeans-seiano.jpg,si,"24, 26, 28, 30, 32, 34","Jeans wide leg de tiro medio, elastizado."
sunflower,27V2210,Remera Sunflower,Remeras,,sunflower.jpg,si,"S, M, L, XL","Remera de algodón, cuello redondo con estampa."
roking,27V2209,Remera Roking,Remeras,,roking.jpg,si,"S, M, L, XL","Remera de algodón, cuello redondo con estampa."
libel,27V2208,Remera Libel,Remeras,,libel.jpg,si,"S, M, L, XL","Remera de algodón, cuello redondo con estampa."
infinity,27V2207,Remera Infinity,Remeras,,infinity.jpg,si,"S, M, L, XL","Remera de algodón, cuello V con estampa."
hummers,27V2206,Remera Hummers,Remeras,,hummers.jpg,si,"S, M, L, XL","Remera de algodón, cuello V con estampa."
somos,27V2205,Remera Somos,Remeras,,somos.jpg,si,"S, M, L, XL","Remera de algodón, cuello redondo con estampa."
vive,27V2204,Remera Vive,Remeras,,vive.jpg,si,"S, M, L, XL","Remera de algodón, cuello redondo con estampa."
cat-love,27V2203,Remera Cat Love,Remeras,,cat-love.jpg,si,"S, M, L, XL","Remera de algodón, cuello redondo con estampa."
